Cell_type_in_merged_data,reclustered.fine,reclustered.broad,nCount_RNA,percent.mito,Cell_type_in_each_tissue
T Cell XCL1,TRM_TNF,CD4,1712,0.04088785,T Cell LTB_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2370,0.076371308,Monocyte Liver
Monocyte,Classical_Mon_S100A8,Myeloid,5670,0.055202822,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1431,0.1278826,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3652,0.063253012,Monocyte Liver
Monocyte,Mac_SDC3,Myeloid,3931,0.062325108,Macrophage LST1_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,5161,0.053478008,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,6305,0.039492466,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1532,0.038511749,CD8 T Cell TRBV4-2_high Liver
T Cell GZMK,TEM_INFG,CD8,1596,0.070175439,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2564,0.058112324,Monocyte Liver
Monocyte,Classical_Mon_S100A8,Myeloid,3499,0.064304087,Monocyte Liver
Monocyte,Classical_Mon_HCAR3,Myeloid,2134,0.097469541,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,2340,0.023931624,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4808,0.048668885,Macrophage C1QB_high Liver
T Cell GZMK,TEM_INFG,CD8,1587,0.051039698,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3473,0.066513101,Monocyte Liver
Endothelial Cell ACKR1,BEC_ACKR1,Endothelial_cell,2358,0.037319763,Endothelial Cell SELE_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,1893,0.031167459,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7978,0.071446478,Macrophage C1QB_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,5270,0.035863378,Endothelial Cell SELE_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,4843,0.058847822,Monocyte Liver
NK/T Cell GNLY,Th1_NKG7,CD4,1551,0.104448743,NK/T Cell Liver
NK/T Cell GNLY,NA,NA,1388,0.083573487,NK/T Cell Liver
Endothelial Cell ACKR1,BEC_IGFBP3,Endothelial_cell,1062,0.037664783,Endothelial Cell SLC9A3R2_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,6342,0.035950804,Endothelial Cell SELE_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7482,0.045308741,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,5347,0.066018328,Monocyte Liver
T Cell IL7R,TN/CM_GADD45B,CD8,1757,0.035856574,T Cell LTB_high Liver
T Cell GZMK,TRM_TYMS,CD8,3288,0.009124088,CD8 T Cell GZMK_high Liver
T Cell IL7R,TN_SELL,CD8,3902,0.051255766,T Cell LTB_high Liver
Monocyte,Mac_SDC3,Myeloid,7908,0.059559939,Macrophage LST1_high Liver
T Cell GZMK,NA,NA,2106,0.07977208,T GD Cell Liver
T Cell GZMK,TEM_INFG,CD8,2416,0.045529801,CD8 T Cell TRBV4-2_high Liver
T Cell GZMK,TEM_INFG,CD8,2255,0.033702882,CD8 T Cell TRBV4-2_high Liver
T Cell XCL1,TEM_INFG,CD8,1747,0.058958214,CD8 T Cell GZMK_high Liver
T Cell IL7R,TRM_TNF,CD4,1464,0.030054645,T Cell LTB_high Liver
NK/T Cell GNLY,NA,NA,2276,0.030755712,NK/T Cell Liver
T Cell XCL1,TRM_MT1E,CD4,1365,0.031501832,T Cell MT1E_high Liver
T Cell GZMK,NA,NA,2322,0.043927649,T GD Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,3128,0.054987212,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6950,0.053381295,Macrophage C1QB_high Liver
Endothelial Cell ACKR1,BEC_IGFBP3,Endothelial_cell,1785,0.031372549,Endothelial Cell SLC9A3R2_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,3534,0.050650821,Monocyte Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,5578,0.140731445,Hepatic Oval Cell Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,5617,0.083674559,Macrophage LST1_high Liver
T Cell GZMK,TEM_GZMK,CD8,1685,0.040949555,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_GZMK,CD8,2364,0.048646362,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7904,0.048709514,Macrophage C1QB_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,4547,0.041126017,Macrophage LST1_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,4308,0.068941504,Monocyte Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,4771,0.0624607,Macrophage LST1_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,4408,0.075998185,Macrophage LST1_high Liver
NK/T Cell GNLY,NA,NA,1791,0.041876047,NK/T Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,5521,0.04165912,Lymphatic Endothelial Cell Liver
Smooth Muscle Cell,Smo_CREM_high,FibSmo,6510,0.099078341,Smooth Muscle Cell Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,1044,0.146551724,Macrophage LST1_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7952,0.078470825,Macrophage C1QB_high Liver
