Cell_type_in_merged_data,reclustered.fine,reclustered.broad,nCount_RNA,percent.mito,Cell_type_in_each_tissue
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,1469,0.12321307,Macrophage LST1_high Liver
T Cell IL7R,MAIT_SLC4A10,CD8,2829,0.02757158,T Cell LTB_high Liver
T Cell IL7R,TRM_TNF,CD4,3274,0.073304826,T Cell LTB_high Liver
T Cell GZMK,TEM_INFG,CD8,1437,0.073068894,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,3408,0.044307512,Macrophage LST1_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2717,0.037541406,Monocyte Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,2778,0.048596112,CD8 T Cell TRBV4-2_high Liver
T Cell GZMK,TRM_H2AFZ,CD8,3281,0.052727827,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,1933,0.057423694,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,5216,0.079179448,Monocyte Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,1239,0.056497175,Lymphatic Endothelial Cell Liver
T Cell IL7R,TRM_TNF,CD4,2423,0.053239785,T Cell LTB_high Liver
T Cell GZMK,NA,NA,2103,0.029006182,T GD Cell Liver
T Cell GZMK,TEM_INFG,CD8,2106,0.058404558,T GD Cell Liver
NK/T Cell GNLY,NA,NA,2311,0.056252704,NK/T Cell Liver
T Cell GZMK,MAIT_SLC4A10,CD8,2590,0.06988417,T Cell LTB_high Liver
T Cell XCL1,TRM_H2AFZ,CD8,1692,0.043144208,T Cell LTB_high Liver
NK/T Cell GNLY,NA,NA,2007,0.058295964,NK/T Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,4012,0.056580259,Lymphatic Endothelial Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,5784,0.034578147,Lymphatic Endothelial Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6229,0.053620164,Macrophage C1QB_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,2429,0.052284891,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2344,0.090443686,Monocyte Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,5131,0.055154941,Macrophage LST1_high Liver
NK/T Cell GNLY,NA,NA,2186,0.067703568,NK/T Cell Liver
NK/T Cell GNLY,TEFF_GNLY,CD8,2482,0.079774376,NK/T Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,4521,0.064587481,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEM_INFG,CD8,2272,0.033450704,CD8 T Cell TRBV4-2_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4721,0.047659394,Macrophage LST1_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1226,0.108482871,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,2588,0.064142195,T GD Cell Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,3012,0.172642762,Hepatic Oval Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,6186,0.04833495,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7700,0.098701299,Macrophage C1QB_high Liver
T Cell IL7R,TRM_TNF,CD4,2060,0.047572816,T Cell LTB_high Liver
T Cell GZMK,TRM_TYMS,CD8,4873,0.05828032,High Proliferation CD8 T Cell Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,4924,0.090779854,Macrophage LST1_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,6798,0.037952339,Endothelial Cell SELE_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,1182,0.05499154,CD8 T Cell GZMK_high Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,4408,0.055580762,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,3072,0.040039063,CD8 T Cell TRBV4-2_high Liver
T Cell GZMK,NA,NA,3500,0.03,T Cell LTB_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,2068,0.073984526,Monocyte Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,2544,0.063679245,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEM_GIMAP4,CD8,1530,0.105882353,CD8 T Cell GZMK_high Liver
T Cell IL7R,TRM_TNF,CD4,1918,0.035974974,T Cell LTB_high Liver
NK/T Cell GNLY,NA,NA,1005,0.091542289,NK/T Cell Liver
T Cell GZMK,TEM_INFG,CD8,1752,0.08390411,T GD Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1135,0.073127753,Macrophage C1QB_high Liver
T Cell GZMK,MAIT_SLC4A10,CD8,3148,0.066073698,T Cell LTB_high Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,1314,0.053272451,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1592,0.065954774,Monocyte Liver
Plasma Cell JCHAIN,Plasma_IGKV3-20,B_and_plasma,11403,0.011575901,B Cell Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,3117,0.02470324,Endothelial Cell SLC9A3R2_high Liver
T Cell XCL1,TRM_TNF,CD4,1005,0.085572139,T Cell LTB_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1112,0.084532374,Monocyte Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,2418,0.036807279,Lymphatic Endothelial Cell Liver
T Cell GZMK,TRM_TYMS,CD8,4125,0.087272727,High Proliferation CD8 T Cell Liver
Macrophage C1QB,Mac_FTL,Myeloid,3158,0.012032932,Macrophage C1QB_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,5042,0.056326854,Lymphatic Endothelial Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,12004,0.053648784,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2943,0.078831125,Macrophage LST1_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2845,0.106502636,Monocyte Liver
Smooth Muscle Cell,Smo_CREM_high,FibSmo,4427,0.054890445,Smooth Muscle Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1101,0.121707539,Monocyte Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,1455,0.090721649,Lymphatic Endothelial Cell Liver
NK/T Cell GNLY,NA,NA,1516,0.039577836,NK/T Cell Liver
Cholangiocyte,Cholangiocyte FXYD2_high,Epithelial_cells,10454,0.10426631,Hepatic Oval Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1350,0.08,Macrophage LST1_high Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,4758,0.174443043,Hepatic Oval Cell Liver
T Cell XCL1,TEM_INFG,CD8,1003,0.090727817,CD8 T Cell GZMK_high Liver
Lymphatic Endothelial Cell,LEC_CCL21,Endothelial_cell,2778,0.035277178,Endothelial Cell SLC9A3R2_high Liver
NK/T Cell GNLY,NA,NA,1143,0.04111986,NK/T Cell Liver
Monocyte,Classical_Mon_S100A8,Myeloid,1305,0.081992337,Monocyte Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,3864,0.02820911,Endothelial Cell SELE_high Liver
Monocyte,Mac_SDC3,Myeloid,2939,0.05341953,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4664,0.045025729,Macrophage C1QB_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,2123,0.026848799,CD8 T Cell TRBV4-2_high Liver
T Cell GZMK,TEM_INFG,CD8,2201,0.049522944,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,1642,0.041412911,CD8 T Cell GZMK_high Liver
T Cell GZMK,NA,NA,1336,0.108532934,T GD Cell Liver
T Cell GZMK,TN/CM_GADD45B,CD8,1623,0.067159581,T Cell LTB_high Liver
NK/T Cell GNLY,TEFF_GNLY,CD8,1970,0.059390863,T GD Cell Liver
T Cell IL7R,TRM_TNF,CD4,2231,0.052442851,T Cell LTB_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,2029,0.040906851,CD8 T Cell GZMK_high Liver
T Cell GZMK,Th1_NKG7,CD4,2274,0.047493404,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1796,0.068485523,Monocyte Liver
T Cell XCL1,TEM_INFG,CD8,1491,0.07444668,CD8 T Cell TRBV4-2_high Liver
Lymphatic Endothelial Cell,LEC_FCN3,Endothelial_cell,1347,0.026726058,Lymphatic Endothelial Cell Liver
Endothelial Cell ACKR1,BEC_CA4,Endothelial_cell,5314,0.029732781,Endothelial Cell SLC9A3R2_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3847,0.057707304,Macrophage C1QB_high Liver
T Cell GZMK,MAIT_SLC4A10,CD8,2352,0.022534014,T Cell LTB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1531,0.074461137,Monocyte Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,2535,0.067061144,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEFF_GNLY,CD8,2872,0.068245125,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,5099,0.115120612,Monocyte Liver
T Cell GZMK,TEM_GZMK,CD8,1364,0.056451613,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,5790,0.055267703,Monocyte Liver
T Cell GZMK,NA,NA,4264,0.058395872,T GD Cell Liver
NK/T Cell GNLY,TEFF_MT1E,CD8,1244,0.044212219,NK/T Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2368,0.080658784,Monocyte Liver
T Cell IL7R,TRM_TNF,CD4,2662,0.038317055,T Cell LTB_high Liver
Monocyte,Mac_FTL,Myeloid,2120,0.012264151,Macrophage C1QB_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,4359,0.0550585,Macrophage LST1_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3122,0.053811659,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1356,0,Macrophage C1QB_high Liver
T Cell XCL1,TRM_TYMS,CD8,2445,0.044171779,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2303,0.072948328,Monocyte Liver
Macrophage C1QB,Classical_Mon_AQP9,Myeloid,3486,0.063396443,Macrophage LST1_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3170,0.044794953,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4412,0.060743427,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3424,0.066588785,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,9693,0.031569174,Macrophage C1QB_high Liver
T Cell GZMK,TEM_INFG,CD8,1945,0.055012853,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,6216,0.081241956,Monocyte Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,3065,0.02675367,Lymphatic Endothelial Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,6700,0.050746269,Lymphatic Endothelial Cell Liver
NK/T Cell GNLY,NA,NA,2193,0.046055632,NK/T Cell Liver
T Cell GZMK,NA,NA,1966,0.035096643,T GD Cell Liver
Plasma Cell JCHAIN,Plasma_IGHG1,B_and_plasma,4112,0.080252918,B Cell Liver
T Cell XCL1,MAIT_SLC4A10,CD8,1605,0.038006231,T Cell LTB_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,8068,0.028383738,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEM_INFG,CD8,1292,0.05495356,CD8 T Cell GZMK_high Liver
NK/T Cell GNLY,NA,NA,1798,0.040044494,NK/T Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,2509,0.052212037,Endothelial Cell SELE_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,2685,0.061452514,Monocyte Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,8299,0.073984817,Macrophage LST1_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,6161,0.058269761,Monocyte Liver
T Cell GZMK,TEM_GZMK,CD8,1743,0.068273092,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_GZMK,CD8,1354,0.050221566,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1657,0.054918527,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4945,0.054398382,Monocyte Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,1086,0.023941068,Lymphatic Endothelial Cell Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,5741,0.051733148,Macrophage LST1_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,2525,0.05029703,Endothelial Cell SELE_high Liver
T Cell GZMK,NA,NA,1170,0.120512821,T GD Cell Liver
T Cell GZMK,TEM_INFG,CD8,2033,0.052631579,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1075,0.061395349,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,8301,0.047946031,Macrophage C1QB_high Liver
T Cell IL7R,Treg_CTLA4,CD4,5734,0.034182072,CD8 T Cell GZMK_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,4514,0.026362428,Endothelial Cell SLC9A3R2_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,2981,0.07983898,Macrophage LST1_high Liver
Macrophage C1QB,Mac_SPP1,Myeloid,6058,0.037801255,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,1856,0.046875,NK/T Cell Liver
T Cell GZMK,TEM_INFG,CD8,2709,0.042451089,CD8 T Cell TRBV4-2_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,6089,0.068319921,Macrophage LST1_high Liver
T Cell IL7R,TRM_TNF,CD4,3008,0.032579787,T Cell LTB_high Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,1084,0.129151292,Endothelial Cell SELE_high Liver
B Cell CD79A,Naive_B_ly_TCL1A,B_and_plasma,1858,0.048439182,B Cell Liver
T Cell XCL1,TEM_INFG,CD8,1303,0.099769762,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2121,0.078736445,Monocyte Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,14272,0.024383408,Endothelial Cell SELE_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2341,0.078171721,Monocyte Liver
NK/T Cell GNLY,NA,NA,1324,0.03776435,NK/T Cell Liver
NK/T Cell GNLY,NA,NA,1848,0.061688312,NK/T Cell Liver
NK/T Cell GNLY,NA,NA,1393,0.04379038,NK/T Cell Liver
T Cell GZMK,TEM_INFG,CD8,1864,0.046137339,CD8 T Cell GZMK_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,2811,0.065812878,Lymphatic Endothelial Cell Liver
Smooth Muscle Cell,Smo_MYH11_high,FibSmo,3268,0.066095471,Smooth Muscle Cell Liver
T Cell GZMK,NA,NA,2238,0.054512958,T GD Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6487,0.033143209,Macrophage C1QB_high Liver
T Cell IL7R,TCM_STMN1,CD4,1894,0.034846885,T Cell LTB_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,5718,0.093214411,Lymphatic Endothelial Cell Liver
Endothelial Cell ACKR1,BEC_TNFRSF4,Endothelial_cell,1980,0.06010101,Endothelial Cell SLC9A3R2_high Liver
NK/T Cell GNLY,NA,NA,1355,0.062730627,NK/T Cell Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,1984,0.05796371,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,3005,0.078868552,Monocyte Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,4255,0.096357227,Hepatic Oval Cell Liver
NK/T Cell GNLY,NA,NA,1297,0.039321511,NK/T Cell Liver
Smooth Muscle Cell,Smo_CREM_high,FibSmo,3657,0.057424118,Smooth Muscle Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1622,0.05487053,Monocyte Liver
Smooth Muscle Cell,Smo_CREM_high,FibSmo,5906,0.067219776,Smooth Muscle Cell Liver
T Cell IL7R,TRM_TNF,CD4,2142,0.027544351,T Cell LTB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1835,0.051226158,Monocyte Liver
NK/T Cell GNLY,NA,NA,2417,0.058336781,NK/T Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,3296,0.055218447,Lymphatic Endothelial Cell Liver
T Cell GZMK,Th1_NKG7,CD4,1152,0.046006944,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,1611,0.034140286,CD8 T Cell TRBV4-2_high Liver
T Cell GZMK,TEFF_MT1E,CD8,2262,0.043324492,CD8 T Cell GZMK_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,7606,0.028924533,Lymphatic Endothelial Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,7757,0.039061493,Lymphatic Endothelial Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4212,0.068613485,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4097,0.082011228,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6965,0.048241206,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,1673,0.048416019,NK/T Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3700,0.062972973,Monocyte Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1680,0.091071429,Monocyte Liver
Endothelial Cell ACKR1,BEC_IGFBP3,Endothelial_cell,1361,0.0286554,Endothelial Cell SLC9A3R2_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,1303,0.036070606,CD8 T Cell GZMK_high Liver
T Cell IL7R,TN/CM_GADD45B,CD8,2757,0.028654334,T Cell LTB_high Liver
T Cell GZMK,TEM_INFG,CD8,2174,0.072677093,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1308,0.077217125,Monocyte Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,2624,0.068216463,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,5477,0.092386343,Monocyte Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,8033,0.022158596,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEFF_MT1E,CD8,1514,0.109643329,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,11000,0.072909091,Macrophage C1QB_high Liver
Endothelial Cell ACKR1,BEC_PHLDA1,Endothelial_cell,1287,0.03962704,Endothelial Cell SLC9A3R2_high Liver
NK/T Cell GNLY,NA,NA,2240,0.058928571,NK/T Cell Liver
T Cell GZMK,NA,NA,2156,0.049165121,T GD Cell Liver
T Cell GZMK,TRM_TYMS,CD8,5565,0.044384546,High Proliferation CD8 T Cell Liver
T Cell GZMK,NA,NA,2280,0.051754386,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2454,0.121026895,Monocyte Liver
Monocyte,Mac_SDC3,Myeloid,1191,0.10495382,Macrophage LST1_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1034,0.130560928,Monocyte Liver
T Cell GZMK,TRM_PRR4,CD8,2381,0.041159177,CD8 T Cell GZMK_high Liver
T Cell GZMK,NA,NA,2300,0.069130435,T GD Cell Liver
T Cell GZMK,TRM_TYMS,CD8,4658,0.088879347,High Proliferation CD8 T Cell Liver
T Cell GZMK,MAIT_SLC4A10,CD8,1742,0.068886338,T Cell LTB_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,2982,0.040241449,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2369,0.159560996,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7527,0.045702139,Macrophage C1QB_high Liver
T Cell GZMK,Th1_NKG7,CD4,1852,0.089092873,CD8 T Cell GZMK_high Liver
NK/T Cell GNLY,NA,NA,1121,0.09455843,NK/T Cell Liver
T Cell GZMK,TEM_INFG,CD8,1027,0.064264849,CD8 T Cell GZMK_high Liver
T Cell GZMK,TRM_TNF,CD4,2237,0.042467591,T Cell LTB_high Liver
NK/T Cell GNLY,NA,NA,2061,0.036390102,NK/T Cell Liver
T Cell GZMK,TEM_INFG,CD8,1872,0.051282051,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,2878,0.061153579,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,5486,0.058512577,Macrophage LST1_high Liver
T Cell GZMK,NA,NA,2856,0.054971989,T GD Cell Liver
T Cell IL7R,TRM_LMNA,CD4,3643,0.058193796,T Cell LTB_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,2223,0.032838507,CD8 T Cell GZMK_high Liver
T Cell XCL1,TEM_INFG,CD8,1176,0.036564626,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,4323,0.081887578,Monocyte Liver
T Cell GZMK,NA,NA,2686,0.058078928,T GD Cell Liver
T Cell GZMK,MAIT_SLC4A10,CD8,2397,0.061326658,T Cell LTB_high Liver
Endothelial Cell ACKR1,BEC_CA4,Endothelial_cell,4893,0.037195994,Endothelial Cell SLC9A3R2_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1452,0.081955923,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,8624,0.026321892,Macrophage C1QB_high Liver
T Cell GZMK,TEM_GZMK,CD8,2382,0.058354324,CD8 T Cell GZMK_high Liver
T Cell GZMK,NA,NA,1985,0.075566751,T GD Cell Liver
T Cell XCL1,TRM_TYMS,CD8,3297,0.098877768,High Proliferation CD8 T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1640,0.042073171,Macrophage C1QB_high Liver
T Cell GZMK,TEM_GZMK,CD8,3249,0.022468452,T GD Cell Liver
T Cell GZMK,NA,NA,1611,0.040968343,T GD Cell Liver
T Cell IL7R,TN/CM_GADD45B,CD8,3000,0.044666667,T Cell LTB_high Liver
T Cell XCL1,TEM_GIMAP4,CD8,2261,0.103936311,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,1747,0.060103034,Macrophage LST1_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,1014,0.060157791,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEM_GZMK,CD8,1246,0.064205457,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,2471,0.051396196,CD8 T Cell TRBV4-2_high Liver
T Cell GZMK,TRM_TYMS,CD8,6682,0.050882969,High Proliferation CD8 T Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1022,0.114481409,Monocyte Liver
T Cell XCL1,NA,NA,1430,0.058041958,T GD Cell Liver
Macrophage C1QB,Intermediate_Mon_FN1,Myeloid,4613,0.046607414,Macrophage C1QB_high Liver
B Cell CD79A,Naive_B_ly_TCL1A,B_and_plasma,3129,0.053371684,B Cell Liver
Monocyte,Classical_Mon_S100A8,Myeloid,5738,0.071976298,Monocyte Liver
Monocyte,Classical_Mon_S100A8,Myeloid,4118,0.123603691,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,5985,0.06566416,Monocyte Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,4817,0.062071829,Endothelial Cell SELE_high Liver
T Cell IL7R,TRM_TNF,CD4,1188,0.024410774,T Cell LTB_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,3279,0.099725526,Monocyte Liver
T Cell GZMK,NA,NA,4435,0.037204059,T Cell LTB_high Liver
B Cell CD79A,Memory_B_HSPA8,B_and_plasma,1273,0.06991359,B Cell Liver
T Cell GZMK,TEM_GZMK,CD8,1609,0.05842138,CD8 T Cell GZMK_high Liver
Endothelial Cell ACKR1,BEC_TIMP1,Endothelial_cell,1621,0.115977791,Endothelial Cell SELE_high Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,9912,0.078288943,Hepatic Oval Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,8586,0.041928721,Lymphatic Endothelial Cell Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,5240,0.11889313,Hepatic Oval Cell Liver
Lymphatic Endothelial Cell,LEC_CCL21,Endothelial_cell,4711,0.030779028,Endothelial Cell SLC9A3R2_high Liver
T Cell GZMK,TRM_TYMS,CD8,4639,0.031903427,High Proliferation CD8 T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7814,0.065395444,Macrophage C1QB_high Liver
T Cell GZMK,TEFF_MT1E,CD8,2070,0.045410628,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,2215,0.077200903,Macrophage LST1_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,3622,0.075648813,Monocyte Liver
T Cell XCL1,MAIT_SLC4A10,CD8,2551,0.049392395,T Cell LTB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2056,0.097276265,Macrophage LST1_high Liver
NK/T Cell GNLY,NA,NA,1820,0.064285714,NK/T Cell Liver
T Cell GZMK,NA,NA,2572,0.072706065,T GD Cell Liver
T Cell GZMK,NA,NA,2190,0.05890411,T GD Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,3366,0.042780749,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_HCAR3,Myeloid,1686,0.147093713,Monocyte Liver
T Cell GZMK,TRM_TYMS,CD8,3172,0.031525851,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,7745,0.058102001,Macrophage LST1_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2918,0.089444825,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1439,0.027797081,CD8 T Cell TRBV4-2_high Liver
T Cell GZMK,NA,NA,2626,0.056359482,T GD Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4137,0.057046169,Monocyte Liver
NK/T Cell GNLY,NA,NA,1607,0.05040448,NK/T Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1645,0.085714286,Monocyte Liver
T Cell IL7R,TN/CM_ITGB1,CD4,3856,0.039159751,T Cell LTB_high Liver
T Cell GZMK,TRM_TYMS,CD8,3528,0.045068027,High Proliferation CD8 T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2535,0.049704142,Macrophage C1QB_high Liver
T Cell IL7R,TRM_TNF,CD4,1358,0.050810015,T Cell LTB_high Liver
T Cell GZMK,NA,NA,2364,0.023688663,T Cell LTB_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,7004,0.066818961,Macrophage LST1_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1452,0.08677686,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_S100A12,Myeloid,2051,0.097025841,Monocyte Liver
Macrophage C1QB,Mac_SPP1,Myeloid,5354,0.018490848,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,1693,0.040165387,NK/T Cell Liver
Monocyte,Classical_Mon_S100A8,Myeloid,6836,0.065096548,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1533,0.063274625,Macrophage C1QB_high Liver
