age,individual,single.cell.well.quality,post.analysis.well.quality,single.cell.quality,CD69.measurement..log10.,CD25.measurement..log10.,CD44.measurement..log10.,CD62L.measurement..log10.,sorting.plate.well,sequencing.plate.well,stimulus,time,sizeFactor
11.5,2,OK,pass,OK,2.33243845991561,1.14612803567824,0.845098040014257,2.14921911265538,Plate 3 G2,Plate 3 G2,peptide N4,3,0.7461422134889593
11.5,2,OK,pass,OK,2.86451108105839,1.91907809237607,1.25527250510331,1.96378782734556,Plate 3 G3,Plate 3 G3,peptide N4,3,0.511074784273047
11.5,2,OK,pass,OK,2.25285303097989,1.11394335230684,1.78532983501077,1.43136376415899,Plate 3 G4,Plate 3 G4,peptide N4,3,0.7367608049013484
11.5,2,OK,pass,OK,2.76937732607614,0.954242509439325,1.17609125905568,2.46538285144842,Plate 3 G5,Plate 3 G5,peptide N4,3,0.5968289772904716
11.5,2,OK,pass,OK,2.60638136511061,1,0.778151250383644,1.80617997398389,Plate 3 G6,Plate 3 G6,peptide N4,3,0.5014723713485166
11.5,2,OK,pass,OK,2.10380372095596,1,1.6232492903979,2.25042000230889,Plate 3 G7,Plate 3 G7,peptide N4,3,0.5072229944010184
11.5,2,OK,pass,OK,2.6222140229663,1,0.698970004336019,2.02118929906994,Plate 3 G8,Plate 3 G8,peptide N4,3,0.7740879863778227
11.5,2,OK,pass,OK,2.51188336097887,1.99122607569249,1.99122607569249,1.86923171973098,Plate 3 G9,Plate 3 G9,peptide N4,3,0.49792277108003113
11.5,2,OK,pass,OK,2.36361197989214,1.49136169383427,0.602059991327962,1.80617997398389,Plate 3 G10,Plate 3 G10,peptide N4,3,0.50703356211223
11.5,2,OK,pass,OK,2.6222140229663,1.81954393554187,1.2304489213782701,2.33041377334919,Plate 3 G11,Plate 3 G11,peptide N4,3,0.5333601399612128
11.5,2,OK,pass,OK,2.63948648926859,1.39794000867204,0,1.81291335664286,Plate 3 H2,Plate 3 H2,peptide N4,3,1.8502979219100235
11.5,2,OK,pass,OK,0.602059991327962,1.2304489213782701,1.44715803134222,3.14643813528577,Plate 3 H3,Plate 3 H3,peptide N4,3,0.765414693726873
11.5,2,OK,pass,OK,2.5705429398819,0.954242509439325,1.04139268515823,2.05690485133647,Plate 3 H4,Plate 3 H4,peptide N4,3,1.2541590193858523
11.5,2,OK,pass,OK,2.8394780473742,2.02530586526477,1.56820172406699,1.44715803134222,Plate 3 H5,Plate 3 H5,peptide N4,3,0.7413342415878087
11.5,2,OK,pass,OK,2.65321251377534,1.75587485567249,0,1.44715803134222,Plate 3 H8,Plate 3 H8,peptide N4,3,1.3818318717365723
11.5,2,OK,pass,OK,0.903089986991944,0.845098040014257,1.67209785793572,2.931457870689,Plate 3 H9,Plate 3 H9,peptide N4,3,0.863599253122882
11.5,2,OK,pass,OK,2.72997428569956,1.5440680443502799,1.32221929473392,1.69019608002851,Plate 3 H10,Plate 3 H10,peptide N4,3,1.0588407987673505
11.5,2,OK,pass,OK,2.13353890837022,0.954242509439325,0.845098040014257,2.22788670461367,Plate 3 H11,Plate 3 H11,peptide N4,3,1.1864956099477095
11.5,2,OK,pass,OK,1.96848294855394,0.301029995663981,1.14612803567824,1.81291335664286,Plate 4 A1,Plate 4 A1,peptide N4,1,1.9320605059851237
11.5,2,OK,pass,OK,1.68124123737559,0.698970004336019,1.34242268082221,1.80617997398389,Plate 4 A2,Plate 4 A2,peptide N4,1,0.36222610821134976
