age,individual,single.cell.well.quality,post.analysis.well.quality,single.cell.quality,CD69protein,CD25protein,CD44protein,CD62Lprotein,sorting.plate.well,sequencing.plate.well,peptide,time,sizeFactor,Cd69transcript,CD25transcript,Cd44transcript,Cd62ltranscript,PC1,PC2,TSNE1,TSNE2,UMAP1,UMAP2
11.5,2,OK,pass,OK,1.98,1.49,1.57,3.08,Plate 3 A4,Plate 3 A4,G4,6,0.28579017968527315,9.02,7.03,3,4.46,7.283413044599663,-7.623980970120769,-0.7027973553734544,2.1099995068156225,2.7582860618087137,0.35846826846880653
11.5,2,OK,pass,OK,2.29,0.85,0,2.74,Plate 3 A5,Plate 3 A5,G4,6,0.4517554161267698,8.88,0,0,8.95,1.456956818951793,11.053034754835695,2.0195004048411556,2.288688364512526,2.305123868510374,0.9955601435451005
11.5,2,OK,pass,OK,0.7,0.95,0.78,3.18,Plate 3 A6,Plate 3 A6,G4,6,0.3657396261391137,7.8,0,0,4.82,-33.29758655133204,-5.265010758466977,2.0589045538657857,-5.109734298132831,-3.2544598550347006,0.04822823818011024
11.5,2,OK,pass,OK,2.6,2.21,0,2.99,Plate 3 A7,Plate 3 A7,G4,6,1.0632879472612855,6.53,6.54,0.96,10.26,18.03429857265782,-0.24207941964400187,-0.8246991693001122,3.218258539718747,3.0496874480697,0.2876517515925858
11.5,2,OK,pass,OK,2.42,2,2,2.47,Plate 3 A9,Plate 3 A9,G4,6,0.9907038086072372,6.9,5.92,5.6,7.59,22.45909126511963,-1.9852282480629535,0.32335066271085355,12.654652438709524,4.793194833323606,0.82617709453387
11.5,2,OK,pass,OK,0,1,1.34,2.94,Plate 3 A10,Plate 3 A10,G4,6,0.3805063240794202,4.77,1.86,0,6.54,-32.41242952194736,-5.45921320843347,3.0252818375977157,-5.603225320679406,-3.2384532660988485,-0.5610672492237594
11.5,2,OK,pass,OK,1.76,0.95,1.36,3.17,Plate 3 A11,Plate 3 A11,G4,6,0.4800710330080296,8.94,0,0,9.4,-15.221196839844566,-7.4429359796782055,0.7435176567685288,-3.067717761942806,-2.1664310068634665,-0.26916959469037316
11.5,2,OK,pass,OK,1.11,1.82,0,3.18,Plate 3 A12,Plate 3 A12,G4,6,0.3516990853058289,9.99,0,0,3.25,-18.081705110204055,-11.56793944417136,-0.41629725190770406,-3.034443028855227,-1.862133440449587,-0.22298171703534386
11.5,2,OK,pass,OK,0.48,0.9,1.38,2.62,Plate 3 B1,Plate 3 B1,NP68,6,0.7272801698767535,8.61,1.25,1.91,6.5,-39.538591864059974,-8.983657440716886,2.2373933078913537,-8.243785993263888,-4.020393413379542,-0.6298496979923751
11.5,2,OK,pass,OK,0,1.11,0,3.24,Plate 3 B2,Plate 3 B2,NP68,6,0.24774586168695736,7.85,2.33,0,2.33,-41.5876143526698,-1.407089299340943,1.5866458714422178,-9.008451843213356,-3.8980087608841574,-0.6224916238041427
