age,individual,single.cell.well.quality,post.analysis.well.quality,single.cell.quality,CD69protein,CD25protein,CD44protein,CD62Lprotein,sorting.plate.well,sequencing.plate.well,peptide,time,sizeFactor,Cd69,Il2ra (CD25),Cd44,Sell (CD62L)
25,1,OK,pass,OK,3.18,2.59,2.11,2.34,Plate 4 A8,Plate 4 A8, T4,6,3.7422754576460626,5.96,8.41,1.22,8.82
25,1,OK,pass,OK,3.15,2.32,1.83,1.86,Plate 4 A9,Plate 4 A9, T4,6,2.382611673990311,0,8.2,0,8.85
25,1,OK,pass,OK,3.24,2.39,2.39,1.63,Plate 4 A10,Plate 4 A10, T4,6,4.41389410666719,0,7.34,8.24,7.22
25,1,OK,pass,OK,3.17,2.31,0,2.93,Plate 4 A11,Plate 4 A11, T4,6,2.257608914852988,0.53,6.99,5.98,9.52
25,1,OK,pass,OK,3.01,2.26,1.91,2.84,Plate 4 A12,Plate 4 A12, T4,6,7.409855959705864,1.99,7.4,5.91,9.71
25,1,OK,pass,OK,3.09,1.73,0,2.36,Plate 4 B1,Plate 4 B1, T4,6,0.35177124998727205,7.45,7.49,2.74,9.7
25,1,OK,pass,OK,2.73,1.18,0,3.18,Plate 4 B2,Plate 4 B2, T4,6,0.3715849653360096,9.01,8.33,0,11.29
25,1,OK,pass,OK,2.82,1.66,1,3.02,Plate 4 B3,Plate 4 B3, T4,6,0.6577043963803672,8.24,8.08,1.33,11.26
25,1,OK,pass,OK,3.15,2.45,0,2.76,Plate 4 B4,Plate 4 B4, T4,6,12.425296809712872,0.4,5.62,0.11,8.39
25,1,OK,pass,OK,2.97,0.9,1.4,2.57,Plate 4 B5,Plate 4 B5, T4,6,0.6175402408646586,6.69,6.24,0,11.06
25,1,OK,pass,OK,2.4,1.9,1.53,2.46,Plate 4 B6,Plate 4 B6, T4,6,0.28663360439964003,3.9,6.15,2.17,6
25,1,OK,pass,OK,2.6,2.1,1.76,2.84,Plate 4 B7,Plate 4 B7, T4,6,1.4357388887746128,5.22,7.96,0,8.37
25,1,OK,pass,OK,3.23,2.52,1.34,1.41,Plate 4 B8,Plate 4 B8, T4,6,1.0020291533012233,1.58,7.37,0,4
25,1,OK,pass,OK,2.87,2.13,0.78,2.77,Plate 4 B9,Plate 4 B9, T4,6,1.577916842095408,5.26,7.88,0,11.03
25,1,OK,pass,OK,0,0.9,0,3.58,Plate 4 B10,Plate 4 B10, T4,6,3.5714842081330547,9.64,0.36,0.64,8.55
25,1,OK,pass,OK,0,0.6,0.78,2.89,Plate 4 B11,Plate 4 B11, T4,6,1.2058131931115257,9.95,1.41,0,3.45
25,1,OK,pass,OK,2.23,1.62,1.69,2.66,Plate 4 B12,Plate 4 B12, T4,6,4.483284958167378,6.72,7.28,5.73,9.99
25,1,OK,pass,OK,3.02,1.7,1.85,2.72,Plate 4 C1,Plate 4 C1, G4,6,0.7284167636094833,2.98,7.37,1.25,10.42
25,1,OK,pass,OK,2.26,0,1.26,3.36,Plate 4 C2,Plate 4 C2, G4,6,0.9718958885061137,7.15,6.48,0,10.05
25,1,OK,pass,OK,2.05,0.95,1.41,3.36,Plate 4 C3,Plate 4 C3, G4,6,1.0643704174829327,8.32,5.34,0,6.58
25,1,OK,pass,OK,1.66,0.7,0.48,3.36,Plate 4 C4,Plate 4 C4, G4,6,1.055674573369032,8.89,4.01,0,10.39
25,1,OK,pass,OK,0.95,0.78,0,3.29,Plate 4 C5,Plate 4 C5, G4,6,1.0010233580536092,9.43,4.95,0,8.11
25,1,OK,pass,OK,1.49,0.7,1.26,2.98,Plate 4 C6,Plate 4 C6, G4,6,0.866954910809989,7.4,2.49,0,10.47
25,1,OK,pass,OK,1.6,0.48,1.18,3.44,Plate 4 C7,Plate 4 C7, G4,6,1.3949974158073588,9.49,1.95,0,1.95
25,1,OK,pass,OK,2.03,1.45,1.36,3.01,Plate 4 C8,Plate 4 C8, G4,6,2.0473977081016543,7.87,6.05,0,9.46
25,1,OK,pass,OK,2.6,2.17,1.28,3.15,Plate 4 C9,Plate 4 C9, G4,6,3.4756450008839486,4.57,7.11,0,6.39
25,1,OK,pass,OK,0,0,0.48,3.15,Plate 4 C10,Plate 4 C10, G4,6,2.653053327991142,7.92,1.09,0,2.56
25,1,OK,pass,OK,2.21,1.8,0.48,3.04,Plate 4 C11,Plate 4 C11, G4,6,3.4973620597057495,6.85,6.77,0,10.29
25,1,OK,pass,OK,2.91,1.84,0.6,2.8,Plate 4 C12,Plate 4 C12, G4,6,6.907237974039439,7.14,9,0,9.65
25,1,OK,pass,OK,2.34,1.66,0,3.16,Plate 4 D1,Plate 4 D1, G4,6,0.3784090380249784,8.19,5.95,0,3.83
25,1,OK,pass,OK,3.28,2.09,0,2.31,Plate 4 D2,Plate 4 D2, G4,6,1.4464012204578398,1.25,6.54,2.16,11.14
25,1,OK,pass,OK,0,0.85,0.6,3.02,Plate 4 D3,Plate 4 D3, G4,6,0.7837355022282553,8.85,1.19,0,7.16
25,1,OK,pass,OK,3.12,2.03,1.75,2.6,Plate 4 D4,Plate 4 D4, G4,6,0.9668353402199122,3.04,5.63,0,10.91
25,1,OK,pass,OK,1.95,0.6,0.78,3.2,Plate 4 D5,Plate 4 D5, G4,6,0.47181268727537795,8.51,1.64,1.64,10.92
25,1,OK,pass,OK,2.73,0.78,1.43,2.88,Plate 4 D6,Plate 4 D6, G4,6,0.898017295878679,2.72,1.08,0,10.89
25,1,OK,pass,OK,2.14,0.48,0.6,3.36,Plate 4 D7,Plate 4 D7, G4,6,0.6856907619025424,7.44,1.3,0,9.03
25,1,OK,pass,OK,2.05,1.26,1.11,3.1,Plate 4 D8,Plate 4 D8, G4,6,1.2765661529739536,8.52,5.38,0,7.46
25,1,OK,pass,OK,3.28,1.96,1.43,2.48,Plate 4 D9,Plate 4 D9, G4,6,2.580627049577751,1.35,6.52,7.02,10.86
25,1,OK,pass,OK,1.41,0.95,1.36,3.43,Plate 4 D10,Plate 4 D10, G4,6,2.5508726493602185,7.51,7.07,0.48,7.55
25,1,OK,pass,OK,1.67,0.78,1.32,3.16,Plate 4 D11,Plate 4 D11, G4,6,2.442571503684396,9.31,1.4,0,2.75
25,1,OK,pass,OK,2.05,0.6,0,3.22,Plate 4 D12,Plate 4 D12, G4,6,5.081110710120283,8.67,6.48,0.26,10.05
25,1,OK,pass,OK,0.3,0.48,1.11,3.56,Plate 4 E1,Plate 4 E1, NP68,6,0.4341788059027702,9.46,1.72,0,2.98
25,1,OK,pass,OK,1.52,0.7,1.51,3.57,Plate 4 E2,Plate 4 E2, NP68,6,0.32693306869305455,9.25,0,0,4.03
25,1,OK,pass,OK,1.7,0.6,1.34,3.52,Plate 4 E3,Plate 4 E3, NP68,6,0.7217234894056301,8.25,0,0,3.6
25,1,OK,pass,OK,0,0.3,0.3,3.57,Plate 4 E4,Plate 4 E4, NP68,6,0.4536542493072429,9.1,1.68,0,3.59
25,1,OK,pass,OK,0,0.78,0,3.35,Plate 4 E5,Plate 4 E5, NP68,6,1.4555390732455797,8.32,0.75,0,1.25
25,1,OK,pass,OK,1.15,0,0.3,3.47,Plate 4 E6,Plate 4 E6, NP68,6,0.9453212445646703,8.92,0,0,3.4
